log_likelihood	mu	sigma	theta
-113.370654111269	0.290859432197452	200.3902496935118	30670.9175445982
-113.3706522020367	0.29086410029733895	200.3909909559183	30670.9175445982
-113.37065224625871	0.2908613662430673	200.3963375988344	30670.9175445982
-113.37065223139177	0.29086187571343086	200.3953496172343	30670.9175445982
-113.37065221105422	0.29086287115427467	200.39339838708455	30670.9175445982
-113.37065222450678	0.2908658808024706	200.38715999352712	30670.9175445982
-113.37067283644342	0.2908201685949966	200.4960150125669	30670.9175445982
-113.37065220208137	0.2908641829351151	200.39082075186838	30670.9175445982
-113.37065223356433	0.2908626509293715	200.39471956573573	30670.9175445982
-113.3706601924498	0.2908896519157613	200.32804757376562	30670.9175445982
