log_likelihood	mu	sigma	rho	w	theta
-2816.5513197224927	2.254483169462776	1.0751635632130438	0.0	0.00010000000000000002	12987.313007358043
-2816.551327315209	2.2544996093565026	1.075135227766821	0.0	0.0001	12987.313007358043
-2816.5513196563165	2.2544842651875188	1.0751668719485905	0.0	0.00010000000000000002	12987.313007358043
-2816.5513196920438	2.254489133534242	1.0751724542638423	0.0	0.0001	12987.313007358043
-2816.5513196404213	2.254484897502184	1.0751687183499277	0.0	0.0001	12987.313007358043
-2816.5513221677775	2.254510545676812	1.0751888965847063	0.0	0.0001	12987.313007358043
-2816.551319642771	2.25448464707829	1.0751683162046286	0.0	0.00010000000000000002	12987.313007358043
-2816.5513196787733	2.2544834105288265	1.0751708645127105	0.0	0.0001	12987.313007358043
inf	10.0	0.01	0.0	0.23395004493027843	12987.313007358043
-2816.5513196382044	2.2544853382369165	1.0751693703986607	0.0	0.0001	12987.313007358043
