log_likelihood	mu	sigma	rho	w	misid	theta
-2743.4201370080864	2.2851724878323654	1.0871825148488965	0.0	0.0001	0.0002809899525961732	12885.832213316242
-2743.4201368002095	2.2851653848474025	1.0871785571546693	0.0	0.0001	0.00028095261565136117	12885.832213316242
-2743.4201369480393	2.2851587608904875	1.087176489822227	0.0	0.0001	0.00028097909543474105	12885.832213316242
-2743.4201370239853	2.2851668625953225	1.0871692273476516	0.0	0.00010000000000000002	0.0002809890317828042	12885.832213316242
-2743.4201368203926	2.285160195201242	1.08717093646776	0.0	0.00010000000000000002	0.000280993744465797	12885.832213316242
-2743.4201367922005	2.2851663879477058	1.087180790553775	0.0	0.00010000000000000002	0.00028097308107826954	12885.832213316242
-2743.420137035908	2.2851585558235548	1.087164441493439	0.0	0.0001	0.0002809959804514075	12885.832213316242
-2743.4201367961223	2.285162330768307	1.0871773403160119	0.0	0.0001	0.00028100061470644986	12885.832213316242
inf	6.791942208436142	0.01	0.0	0.6854960911758616	0.006112645700653973	12885.832213316242
-2743.4201457280947	2.285177616122531	1.08714719445636	0.0	0.0001	0.00028126852178754263	12885.832213316242
