log_likelihood	mu	sigma	rho	w	theta
-1130.481835483099	2.261772415691326	1.053786593435098	0.0	0.0001	12996.696167653048
-1130.4818354832328	2.261772536326859	1.0537867273167785	0.0	0.0001	12996.696167653048
-1130.4818354833894	2.261772062951813	1.0537860469331026	0.0	0.0001	12996.696167653048
-1130.4818354830904	2.261772329943107	1.0537864606932523	0.0	0.0001	12996.696167653048
-1130.4818354834424	2.2617725438951743	1.0537869114766834	0.0	0.0001	12996.696167653048
-1130.481835484554	2.261772924948236	1.053787361612066	0.0	0.0001	12996.696167653048
-1130.4818355666882	2.261767826957981	1.0537853884795156	0.0	0.00010000000000000002	12996.696167653048
-1130.4818354847366	2.261771867752968	1.05378547354094	0.0	0.0001	12996.696167653048
-1130.481835483147	2.2617722080379425	1.0537862792682533	0.0	0.0001	12996.696167653048
-1130.4818354832803	2.2617723207158056	1.0537866986057087	0.0	0.0001	12996.696167653048
