trees_file,ll,AIC,CLAIC,BIC,CLBIC,eps
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep0.trees,-11565.533406215534,23143.06681243107,23268.777066721424,23193.850401844014,23851.562151040907,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep10.trees,-11948.0074847762,23908.0149695524,24037.06218747696,23958.771778571256,24633.654412713426,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep11.trees,-12143.72931086624,24299.45862173248,24420.200016777115,24350.14081390567,24980.835424526227,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep12.trees,-12090.27698242353,24192.55396484706,24366.94603340535,24243.324865640734,25155.553801863785,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep13.trees,-11454.270715539353,22920.541431078706,23024.692378351403,22971.252818698482,23515.54035414723,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep14.trees,-12156.999653783509,24325.999307567017,24464.17993696559,24376.81620525163,25100.156076828764,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep15.trees,-11646.68722827591,23305.37445655182,23435.091004817186,23356.04304525437,24033.47246285072,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep16.trees,-11982.63131017087,23977.26262034174,24109.228864679735,24028.05374163779,24718.57944623872,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep17.trees,-11801.128321845075,23614.25664369015,23718.533654070485,23664.92505778883,24209.497963412752,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep18.trees,-12258.27817710668,24528.55635421336,24618.460778514273,24579.304037493293,25049.411899284816,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep19.trees,-12108.693183014211,24229.386366028422,24326.333247161194,24280.205647976927,24787.71676963589,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep1.trees,-11838.02056299924,23688.04112599848,23795.592014962687,23738.786741144882,24301.148965111694,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep20.trees,-11785.860587268877,23583.721174537754,23719.798847542537,23634.532618915924,24346.802218003504,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep21.trees,-11738.262650821163,23488.525301642327,23591.82308315792,23539.226973222736,24078.972270854032,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep22.trees,-12518.25853784265,25048.5170756853,25170.225984678214,25099.21544717444,25735.127979639063,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep23.trees,-12189.626580397447,24391.253160794895,24479.347232892098,24442.07380475464,24903.250999603184,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep24.trees,-12144.289530195145,24300.57906039029,24395.992415405613,24351.441774072857,24851.270308891315,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep2.trees,-11941.735222198056,23895.470444396113,24002.961939402692,23946.298063814942,24509.084292067782,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep3.trees,-11621.962674016018,23255.925348032037,23399.388624688825,23306.51077666041,24054.736665160046,0.01
