trees_file,ll,AIC,CLAIC,BIC,CLBIC,eps
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep0.trees,-11728.29653731235,23468.5930746247,23670.523431712183,23519.376664037645,24575.869383153487,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep10.trees,-12080.120186199983,24172.240372399967,24387.05487679134,24222.99718141882,25346.419916966242,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep11.trees,-12278.549229460854,24569.098458921708,24719.61720527889,24619.780651094898,25406.017733163928,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep12.trees,-12195.905441101972,24403.810882203943,24649.37770130737,24454.58178299762,25739.11931967762,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep13.trees,-11537.918498532985,23087.83699706597,23221.750225049353,23138.548384685746,23838.372080309193,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep14.trees,-12394.052167863529,24800.104335727057,25207.27250395247,24850.92123341167,26982.34133039894,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep15.trees,-11731.050789611165,23474.10157922233,23707.14222120904,23524.77016792488,24741.79751322844,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep16.trees,-12304.046878778174,24620.093757556348,24903.699083942964,24670.884878852397,26154.876249631376,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep17.trees,-11991.619360458571,23995.238720917143,24200.918232593114,24045.907135015823,25120.0412024595,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep18.trees,-12619.67575405174,25251.35150810348,25443.2475034771,25302.09919138341,26305.51828641604,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep19.trees,-12219.74168967099,24451.48337934198,24613.138959904412,24502.302661290483,25348.559952448853,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep1.trees,-12125.29091806482,24262.58183612964,24676.83873873078,24313.327451276044,26479.394466472062,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep20.trees,-12075.284513049985,24162.56902609997,24458.399546415545,24213.38047047814,25761.84232649208,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep21.trees,-11867.54981047348,23747.09962094696,24183.13872187988,23797.80129252737,26076.16633443675,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep22.trees,-12658.55951399296,25329.11902798592,25548.723309491696,25379.817399475058,26527.219968012927,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep23.trees,-12375.661980751018,24763.323961502036,24908.169675829344,24814.14460546178,25572.41969286603,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep24.trees,-12269.08508433324,24550.17016866648,24721.60703730564,24601.032882349045,25499.115114674,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep2.trees,-12026.500103136144,24065.00020627229,24196.119352515085,24115.827825691118,24802.31981057979,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/recurrent_formation/auto_recurrent/topology1/auto_triple_recurrent_master42_rep3.trees,-11799.96817992004,23611.93635984008,23764.147158957872,23662.521788468453,24456.369963856258,0.01
