trees_file,ll,AIC,CLAIC,BIC,CLBIC,eps
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep0.trees,-11374.775398822268,22761.550797644537,22863.890498100136,22812.39980322462,23348.395503641117,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep10.trees,-11523.509743296116,23059.01948659223,23196.121581818334,23109.903293486233,23828.361766899692,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep11.trees,-11657.917621068182,23327.835242136363,23471.989012392816,23378.572922827105,24132.229023553413,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep12.trees,-11692.096535422032,23396.193070844063,23568.589430823245,23446.973576304914,24348.901127896894,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep13.trees,-11764.230329977298,23540.460659954595,23660.591367327303,23591.331313386334,24220.722652531236,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep14.trees,-11530.171285964914,23072.34257192983,23216.12065349033,23123.218962467578,23876.572863048106,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep15.trees,-11507.62124959346,23027.24249918692,23152.11445967842,23077.991043978807,23730.952194491463,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep16.trees,-11260.69887964844,22533.39775929688,22647.891578557785,22584.26841272862,23184.126848630967,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep17.trees,-11122.57335884236,22257.14671768472,22347.550412028606,22307.85255520871,22780.25583596671,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep18.trees,-11658.571729862651,23329.143459725303,23417.416281504586,23379.984157520455,23842.244633933584,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep19.trees,-11460.365747479298,22932.731494958596,23022.600786561085,22983.533213340354,23453.862041872657,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep1.trees,-11202.630507900709,22417.261015801418,22521.03189121939,22468.063758715023,23011.155059614586,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep20.trees,-11388.195197030178,22788.390394060356,22933.49786985689,22839.272179220705,23599.656939070526,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep21.trees,-11265.283098486389,22542.566196972777,22650.37859850363,22593.341044401233,23157.33329915079,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep22.trees,-12041.442528676684,24094.885057353367,24204.69510862248,24145.625499045018,24719.753092278945,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep23.trees,-11387.89400204284,22787.78800408568,22890.97778730606,22838.576387608973,23378.503027986197,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep24.trees,-11282.470431318165,22576.94086263633,22679.673332981918,22627.748043167478,23165.44277745134,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep2.trees,-11214.482993346966,22440.965986693933,22568.962945229498,22491.881546360604,23162.96490318531,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep3.trees,-11142.105341942884,22296.21068388577,22440.765228658893,22346.972480364602,23103.01439029303,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep4.trees,-11019.487873262917,22050.975746525834,22172.70857842395,22101.7049637391,22738.05540158269,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep5.trees,-11292.901810747568,22597.803621495135,22707.19180607219,22648.48860031569,23219.904936434985,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep6.trees,-11211.454621032935,22434.90924206587,22535.414562716127,22485.686319053155,23011.472173394224,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep7.trees,-11016.132654610508,22044.265309221017,22216.09133323526,22095.08680428081,22994.617447510387,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep8.trees,-11443.277965604271,22898.555931208542,23012.44040483483,22949.367546077585,23545.473187492422,0.01
/xdisk/rgutenk/sgibbon/dadi_msprime_pipeline/autotetraploid_topology_testing/msprime_tree_sequences/single_origin/auto_single_origin/topology1/auto_triple_recurrent_master42_rep9.trees,-11365.946890829951,22743.893781659903,22916.37866604186,22794.620232701098,23696.23395399536,0.01
